first_name,last_name,email,password,phone_number,country,address,image
Fernando,Alonso,fernando@f1.com,testpassword1,03249876543,Spain,"Sr. D. Alvaro Blanco Ruiz, 28300 ARANJUEZ, MADRID",/home/fakhar/Documents/dummy_pics/alonso.jpg
Sebastian,Vettel,sebastian@f1.com,testpassword1,03249876543,Germany,"Herrn, Eberhard Wellhausen, Wittekindshof, Schulstrasse 4, 32547 Bad Oyenhausen",/home/fakhar/Documents/dummy_pics/vettel.jpg
Kimi,Raikkonen,kimi@f1.com,testpassword1,03249876543,Finland,"Iceman, Saga Tours Ltd,  Albertinkatu 36 B, 00180 HELSINKI",/home/fakhar/Documents/dummy_pics/kimi.jpg
Valtteri,Bottas,valtteri@f1.com,testpassword1,03249876543,Finland,"Saga Matkat OY, Saga Tours Ltd,  Albertinkatu 36 B, 00180 HELSINKI",/home/fakhar/Documents/dummy_pics/valtteri.jpg
Nico,Hulkenberg,nico@f1.com,testpassword1,03249876543,Germany,"Herrn, Eberhard Wellhausen, Wittekindshof, Schulstrasse 4, 32547 Bad Oyenhausen",/home/fakhar/Documents/dummy_pics/nico.jpg
Felipe,Massa,felipe@f1.com,testpassword1,03249876543,Brazil,"Juan Smith, Rua Visconde de Porto Seguro 1238, ,Sao Paulo-SP, 04642-000",/home/fakhar/Documents/dummy_pics/massa.jpg
Max,Verstappen,max@f1.com,testpassword1,03249876543,Netherlands,"Koninklijke TNT Post BV, Prinses Beatrixlaan 23, 595 AK  'S-Gravenhage",/home/fakhar/Documents/dummy_pics/max.jpg
Daniel,Ricciardo,daniel@f1.com,testpassword1,03249876543,Australia," Mr S Tan, 200 Broadway Av, WEST BEACH SA 5024 ",/home/fakhar/Documents/dummy_pics/dani.jpg
Daniil,Kvyat,daniil@f1.com,testpassword1,03249876543,Russian Federation,"Ivanov Alexander Ivanovitch, ul. Lesnaya d. 5, kv. 176, g. MOSKVA,123456",/home/fakhar/Documents/dummy_pics/kvyat.jpg
Lance,Stroll,lance@f1.com,testpassword1,03249876543,Canada,"JOHN JONES, MARKETING DEPARTMENT ,10-123 1/2 MAIN STREET NW",/home/fakhar/Documents/dummy_pics/stroll.jpg
